N_id,Title,Main Genre,Sub Genres,Release Year,Maturity Rating,Original Audio,Recommendations,Recommendation_Count
547335,Glory,Drama,"Military, Drama, Based on Books, Period Pieces, Based on Real Life, Social Issue Dramas, US",1989,U/A 16+,"English [Original], Hindi, English - Audio Description","81166791, 937499, 70266110, 21878564, 81260280, 60011152, 81590591, 81519223, 70012020, 538871, 80182016, 80189214",12
557010,Grave Of The Fireflies,Anime,"Japanese, Anime based on Books, Based on Books, Drama Anime, Anime Features",1988,U/A 13+,Japanese [Original],"80217130, 70106454, 60023642, 70045021, 81725555, 70262786, 28630857, 80036398, 80013552, 70293674, 70216227, 70028883",12
609910,Hudson Hawk,Action,"Satires, Comedy, Action & Adventure, US",1991,U/A 16+,"Hindi, English [Original]","81307099, 877351, 81253859, 60031216, 60024924, 60003388, 80021752, 765912, 265929, 81161626, 70127226, 60001867",12
765912,Mission: Impossible,Action,"Action & Adventure, Spy, US",1996,U/A 16+,"English [Original], Hindi, English - Audio Description","60000521, 70041961, 81649988, 80161352, 80236314, 70298735, 70173048, 81665878, 70259170, 70127226, 80038359, 80013870",12
786137,My Girl,Drama,"Drama, US",1991,U/A 13+,"Hindi, English [Original]","81349306, 80208802, 80081151, 80171659, 60000417, 80017272, 81140933, 268371, 81160765, 60036227, 80149312, 70101375",12
797261,The Net,Thriller,"Thriller, US",1995,U/A 13+,"Hindi, English [Original]","950149, 60010341, 70044379, 81053209, 60022967, 81488967, 60022700, 27828200, 70113299, 8179348, 81752951, 70142888",12
828487,Only You,Comedy,"Romantic Comedies, Comedy, Romantic, US",1994,U/A 13+,"Hindi, English [Original]","60022922, 60033290, 21304015, 60020782, 70044867, 70093223, 60026122, 70103758, 60000880, 60036227, 70117577, 60001947",12
877351,The Professionals,Action,"Westerns, Based on Books, Action & Adventure, US",1966,A,"Hindi, English [Original]","80097141, 81127997, 81077494, 80200267, 80127990, 81572104, 81210670, 70062784, 966131, 70012020, 60001867, 538871",12
880640,Pulp Fiction,Drama,"Crime, Drama, Independent, US",1994,A,English [Original],"80175798, 60034545, 937499, 80994899, 80200267, 60000417, 60011152, 70132721, 60023237, 80185760, 1151721, 268371",12
907090,Richard Pryor: Live In Concert,Comedy,Stand-Up Comedy,1979,A,English [Original],"80151483, 81307099, 81697662, 81683615, 81665820, 80044731, 81228510, 80244900, 81022398, 80174687, 80167499, 80216224",12
937499,Scent Of A Woman,Drama,"Drama, Based on Books, US",1992,U/A 16+,"English [Original], Hindi, English - Audio Description","80175798, 60022922, 880640, 80994899, 5670418, 60000417, 60011152, 70132721, 60000165, 60023237, 1151721, 268371",12
939827,Scream,Horror,"Horror, Teen, US",1996,A,English [Original],"80164456, 80177770, 81639205, 70291092, 1181550, 81081050, 80993029, 60000393, 81483977, 81570912, 81012366, 60000415",12
950149,Seven,Thriller,"Crime, Thriller, Mystery, US",1995,A,"Hindi, English [Original]","70044379, 70101697, 70060015, 70108777, 80142090, 70243464, 70307658, 27828200, 60022700, 80185760, 1151721, 80234448",12
966131,Silverado,Action,"Westerns, Action & Adventure, US",1985,U/A 16+,"Hindi, English [Original]","877351, 80097141, 80039517, 81127997, 81077494, 81383127, 80200267, 80127990, 81572104, 81210670, 70012020, 538871",12
1151721,Donnie Brasco,Drama,"Crime, Drama, Thriller, Based on Books, Based on Real Life, US",1997,A,"Hindi, English [Original]","80175798, 880640, 950149, 937499, 70108777, 60011152, 70084788, 60023237, 70032595, 70012020, 268371, 80200571",12
1152469,Liar Liar,Comedy,"Comedy, Courtroom, US",1997,U/A 16+,"English [Original], Hindi, English - Audio Description","70184054, 70027007, 70125231, 70097577, 80064512, 21303955, 70021643, 215309, 60022265, 60033311, 70127226, 215318",12
1181550,Scream 2,Horror,"Horror, Teen, US",1997,A,English [Original],"80164456, 80177770, 81639205, 81325689, 70291092, 939827, 81081050, 80993029, 60000393, 81570912, 81012366, 60000415",12
5670418,Meet Joe Black,Drama,"based on a Play, Drama, Romantic, US",1998,A,"English [Original], Hindi, English - Audio Description","60022922, 60034545, 21304015, 937499, 60000417, 70059993, 60026122, 828487, 60023237, 60036227, 268371, 70142888",12
7774426,A Chinese Odyssey Part Two: Cinderella,Action,"Hong Kong, Comedy, Martial Arts, Based on Books, Action & Adventure, Chinese",1995,U/A 16+,Cantonese [Original],"374329, 70026792, 70144556, 80997793, 81386963, 81403965, 70027007, 70043379, 80184682, 80237245, 80214405, 81067756",12
8179348,Hush,Thriller,"Drama, Thriller, US",1998,U/A 16+,"Hindi, English [Original]","60010341, 950149, 60022967, 8188050, 70113299, 60022700, 60023237, 797261, 81592177, 81157374, 80998968, 81225962",12
8188050,Wild Things,Thriller,"Crime, Thriller, Mystery, US",1998,A,"Hindi, English [Original]","60010341, 81090319, 81446391, 80155477, 81674326, 81304948, 81478642, 80202902, 81170838, 81592177, 81346196, 70294663",12
11546798,Lifeline,Action,"Hong Kong, Action & Adventure, Chinese",1997,U/A 13+,Cantonese [Original],"70117354, 70043379, 70285697, 70080481, 81030202, 70309225, 80144152, 80237937, 80007760, 80135353, 70062784, 80117455",12
11819467,Godzilla,Sci-Fi,"Sci-Fi, Action & Adventure, US",1998,U/A 13+,"Hindi, English [Original], Tamil, Telugu, Bangla","80228280, 81044417, 81245455, 80029196, 80139562, 60036256, 60002360, 81767635, 80216309, 20559714, 70297757, 80237937",12
17236928,Rush Hour,Action,"Crime, Comedy, Martial Arts, Action & Adventure, US",1998,U/A 13+,"Hindi, English [Original]","60020801, 70184054, 60001650, 81322579, 70027007, 70286698, 80094318, 215309, 81762792, 70059988, 60022059, 80067830",12
17517355,Duplicate,Comedy,"Hindi-Language, Bollywood, Drama, Comedy",1998,U/A 13+,Hindi [Original],"20764666, 60036112, 70057651, 60000722, 60036735, 60036752, 80157133, 80156935, 70083535, 70000196, 24081514, 60036750",12
17671454,Dil Se,Drama,"Hindi-Language, Bollywood, Drama, Romantic",1998,U/A 16+,Hindi [Original],"60036112, 70057651, 60000722, 70039405, 60036750, 60036735, 60021758, 70083535, 80156935, 70000196, 70019491, 70115621",12
19759334,Roja,Romance,"Drama, Thriller, Romantic, Telugu-Language",1992,U/A 13+,Telugu [Original],"17671454, 81643841, 81643751, 60036750, 70063017, 70090035, 70001564, 81713677, 81644560, 70047320, 70019491, 81486768",12
20254278,Aakhri Adaalat,Action,"Hindi-Language, Bollywood, Crime, Action & Adventure",1988,U/A 16+,Hindi [Original],"80158543, 80156939, 80157086, 70229043, 80158482, 60002088, 81244365, 80156938, 80156935, 70000196, 80158479, 24012660",12
20257393,Professor,Comedy,"Hindi-Language, Bollywood, Romantic Comedies, Drama, Comedy, Romantic",1962,U/A 13+,Hindi [Original],"80157083, 80158546, 80157134, 80158545, 60002088, 81244365, 80158390, 80158481, 80157133, 235527, 60002082, 24012660",12
20559714,The Mummy,Action,"Action & Adventure, US",1999,U/A 16+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","70217910, 70178621, 60001650, 80084088, 60020549, 70027007, 60004467, 70056440, 60036256, 80161352, 60029176, 70097578",12
20764666,English Babu Desi Mem,Comedy,"Hindi-Language, Bollywood, Drama, Comedy",1996,U/A 16+,Hindi [Original],"17671454, 80157083, 17517355, 60036112, 70000196, 60000722, 80158395, 60036752, 80156935, 80157133, 24081514, 60036750",12
21303955,Big Daddy,Comedy,"Comedy, US",1999,U/A 13+,"Hindi, English [Original]","70044593, 1152469, 70125231, 70267242, 80064512, 80183328, 215309, 60033311, 80037476, 70021637, 215318, 70220030",12
21304015,Notting Hill,Romance,"British, Romantic Comedies, Comedy, Romantic",1999,U/A 13+,"English [Original], Hindi, English - Audio Description","60022922, 80239019, 60020782, 60036227, 60033311, 70044867, 80047616, 70093223, 60026122, 60000880, 70103758, 828487",12
21477429,The Last Days,Documentary,"Documentaries, Historical Documentaries, US",1998,U/A 16+,English [Original],"81474469, 80989924, 81227142, 81303911, 80106791, 81488464, 80226649, 80201488, 81331646, 80138915, 81561941, 81672035",12
21878564,Saving Private Ryan,Drama,"Military, Drama, Action & Adventure, US",1998,A,"English [Original], Hindi, English - Audio Description","80067930, 70108777, 70266110, 70056440, 70101375, 81260280, 81166149, 60000417, 70301585, 80118916, 81166791, 80189214",12
24012660,Gumrah,Action,"Hindi-Language, Bollywood, Drama, Action & Adventure",1993,U/A 16+,Hindi [Original],"20764666, 80158543, 17517355, 80158395, 80157084, 60002088, 81244365, 80156935, 60002082, 235527, 24081514, 81595555",12
24081514,Ram-Jaane,Drama,"Hindi-Language, Bollywood, Crime, Drama, Romantic",1995,U/A 16+,Hindi [Original],"17671454, 20764666, 17517355, 80157083, 60036112, 60000722, 80158395, 60021758, 60036752, 80156935, 70000196, 60036750",12
27748788,Indian,Drama,"Drama, Action & Adventure, Social Issue Dramas, Tamil-Language",1996,U/A 16+,Tamil [Original],"81686137, 81639319, 81917391, 81742609, 81917390, 81690671, 81754779, 81285617, 81602976, 81715677, 81712516, 81917393",12
27828200,The Bone Collector,Thriller,"Crime, Drama, Thriller, Mystery, Based on Books, US",1999,A,"Hindi, Telugu, English [Original]","950149, 60010341, 937499, 70044379, 60022967, 60000417, 60000165, 70113299, 797261, 80202075, 268371, 70142888",12
28630857,Princess Mononoke,Anime,"Sci-Fi & Fantasy Anime, Family, Action Anime, Japanese, Action & Adventure, Anime Features",1997,U/A 13+,"Japanese [Original], English, Hindi","80217130, 60023642, 81725555, 70019062, 60032294, 70293674, 60027106, 70216227, 70142821, 70028883, 60027393, 557010",12
60000165,Erin Brockovich,Drama,"Drama, Based on Real Life, Social Issue Dramas, US",2000,U/A 16+,"Hindi, English [Original]","60022922, 937499, 80994899, 5670418, 60022967, 60000417, 81140933, 268371, 60000880, 786137, 80149312, 81028975",12
60000393,Final Destination,Horror,"Horror, US",2000,A,"Hindi, English [Original]","60026114, 80177770, 70291092, 939827, 70043240, 80993029, 70206131, 70178620, 70113006, 81753224, 81198941, 81644122",12
60000415,Scream 3,Horror,"Horror, US",2000,U/A 16+,English [Original],"80164456, 70001995, 80177770, 81639205, 81325689, 70291092, 1181550, 939827, 81081050, 80993029, 81570912, 81012366",12
60000417,The Green Mile,Drama,"Crime, Drama, Based on Books, US",1999,A,"Hindi, English [Original]","880640, 80081151, 937499, 80066891, 80200047, 60011152, 786137, 81239779, 80149312, 21878564, 268371, 70101375",12
60000521,Mission: Impossible Ii,Action,"Action & Adventure, Spy, US",2000,U/A 16+,"English [Original], Hindi, English - Audio Description","70041961, 81649988, 80236314, 70298735, 70173048, 765912, 20559714, 81665878, 70259170, 70127226, 80038359, 80013870",12
60000722,Phir Bhi Dil Hai Hindustani,Drama,"Hindi-Language, Bollywood, Romantic Comedies, Drama, Comedy, Romantic, Social Issue Dramas",2000,U/A 13+,Hindi [Original],"17671454, 60036112, 17517355, 70057651, 80091866, 60036752, 70083535, 80156935, 70000196, 80074065, 60036750, 70115621",12
60000880,28 Days,Drama,"Drama, Comedy, US",2000,A,"Hindi, English [Original]","60022922, 21304015, 60020782, 70044867, 80047616, 70093223, 60000165, 60026122, 828487, 70103758, 60036227, 60001947",12
60000901,How The Grinch Stole Christmas,Kids,"Family, Children & Family, Comedy, Based on Books, US",2000,U/A 7+,"English [Original], Hindi, English - Audio Description","81623335, 80199682, 80183187, 81309564, 81500345, 80996790, 81762622, 81028225, 81029733, 70033005, 80988988, 80057250",12
60001650,Men In Black,Sci-Fi,"Sci-Fi, Comedy, Action & Adventure, US",1997,U/A 13+,"Hindi, English [Original]","70217910, 70184054, 70027007, 70060015, 70097577, 80037476, 81057361, 80211726, 215309, 20559714, 81762779, 17236928",12
60001867,The Art Of War,Action,"Crime, Action & Adventure, Spy, US",2000,A,"Hindi, English [Original]","877351, 60024924, 70101697, 80021752, 81086887, 70023960, 609910, 27828200, 265929, 70114342, 70099114, 80200961",12
60001947,Whatever It Takes,Comedy,"Romantic Comedies, Comedy, Romantic, Teen, US",2000,A,"Hindi, English [Original]","60033290, 60022922, 70167075, 60033311, 70044867, 70098895, 70093223, 60026122, 60022266, 70103758, 828487, 70117577",12
60002082,Muqaddar Ka Faisla,Drama,"Hindi-Language, Bollywood, Crime, Drama, Thriller",1987,U/A 16+,Hindi [Original],"80158546, 80156939, 80157086, 20257393, 80157134, 60002088, 80158479, 81244365, 80158481, 235527, 24081514, 24012660",12
60002088,Duniya,Drama,"Hindi-Language, Bollywood, Drama, Action & Adventure",1984,U/A 13+,Hindi [Original],"80158543, 80158546, 80156939, 80157086, 20254278, 20257393, 80157134, 81244365, 80158481, 235527, 60002082, 24012660",12
60002332,Rudy,Drama,"Family, Drama, Based on Real Life, Sports, US",1993,U/A 13+,"Hindi, English [Original]","70201437, 80990660, 70243457, 81426668, 81107362, 80174972, 80096984, 81274014, 81183756, 81001287, 81460842, 80242342",12
60002360,Jurassic Park,Action,"Sci-Fi, Based on Books, Action & Adventure, US",1993,U/A 16+,"English [Original], Hindi, English - Audio Description, Tamil","81044417, 80029196, 70178621, 80139562, 70297757, 60036256, 60003016, 80216309, 60004473, 11819467, 20559714, 80237937",12
60003016,The Lost World: Jurassic Park,Action,"Sci-Fi, Based on Books, Action & Adventure, US",1997,U/A 16+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","81044417, 81245455, 70178621, 80029196, 80139562, 60036256, 60002360, 80216309, 60004473, 70297757, 80237937, 81557031",12
60003388,Snatch,Comedy,"British, Comedy",2000,A,"Hindi, English [Original]","60022922, 81458416, 81333286, 70127228, 80200267, 80142090, 80015343, 60033343, 215309, 81437051, 81004274, 81511779",12
60004467,Lara Croft: Tomb Raider,Action,"Action & Adventure, US",2001,U/A 13+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","81361105, 81388316, 81307099, 70307658, 80161352, 60029176, 20559714, 765912, 81416533, 70127226, 70142888, 70097578",12
60004471,Evolution,Comedy,"Sci-Fi, Comedy, US",2001,U/A 13+,"Hindi, English [Original], Tamil","70217910, 70219498, 60001650, 81277430, 60031216, 81489818, 70039180, 215309, 11819467, 80158764, 215318, 70097578",12
60004473,Jurassic Park Iii,Action,"Sci-Fi, Based on Books, Action & Adventure, US",2001,U/A 16+,"English [Original], Hindi, English - Audio Description","80228280, 81044417, 80029196, 70178621, 60020549, 80139562, 60036256, 60002360, 80216309, 81767635, 70297757, 80237937",12
60004480,The Lord Of The Rings: The Fellowship Of The Ring,Fantasy,"Based on Books, Action & Adventure, US",2001,U/A 13+,"Hindi, English [Original]","81631823, 60004483, 60020549, 70217912, 60004484, 70056440, 80189685, 80161352, 20559714, 80991090, 70269488, 70097578",12
60004481,Spider-Man,Action,"Sci-Fi, Action & Adventure, US",2002,U/A 13+,"English [Original], English - Audio Description","80092423, 81251375, 70047101, 70155571, 70027007, 80166369, 81004276, 80005628, 80091595, 80187362, 70208599, 80217006",12
60004483,The Lord Of The Rings: The Two Towers,Fantasy,"Based on Books, Action & Adventure, US",2002,U/A 16+,"Hindi, English [Original]","60004480, 81631823, 60020549, 60004484, 70217912, 70056440, 80189685, 20559714, 81279312, 80993105, 70269488, 70097578",12
60004484,The Lord Of The Rings: The Return Of The King,Fantasy,"Based on Books, Action & Adventure, US",2003,U/A 16+,"Hindi, English [Original]","60004480, 81631823, 60004483, 60020549, 70217912, 80189685, 70056440, 80161352, 20559714, 80993105, 70269488, 70097578",12
60010341,Fatal Attraction,Thriller,"Thriller, US",1987,A,"English [Original], Hindi, English - Audio Description","950149, 81478642, 81553437, 60022967, 80998968, 8188050, 70113299, 8179348, 81592177, 81346196, 81068703, 70294663",12
60011152,The Godfather,Drama,"Crime, Drama, Based on Books, US",1972,A,"English [Original], Hindi, English - Audio Description","80175798, 880640, 937499, 70305903, 80025172, 60000417, 80088678, 80002479, 70132721, 80185760, 1151721, 268371",12
60020549,The Mummy Returns,Action,"Action & Adventure, US",2001,U/A 16+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","81631823, 70178621, 60001650, 80084088, 60004467, 70217912, 70056440, 60036256, 80161352, 60029176, 20559714, 70097578",12
60020747,The Fast And The Furious,Action,"Crime, Action & Adventure, US",2001,U/A 16+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","70044885, 70184054, 81227923, 60027713, 70103761, 80142090, 70140907, 80124486, 70023960, 81073022, 81762792, 70059988",12
60020782,America'S Sweethearts,Comedy,"Romantic Comedies, Comedy, Romantic, US",2001,U/A 13+,"Hindi, English [Original]","60022922, 60033290, 21304015, 60036227, 70044867, 80047616, 70093223, 60026122, 60000880, 70103758, 828487, 60001947",12
60020801,Rush Hour 2,Action,"Crime, Comedy, Martial Arts, Action & Adventure, US",2001,U/A 13+,"Hindi, English [Original]","70044593, 70184054, 60001650, 70027007, 70286698, 80094318, 215309, 81762792, 70059988, 17236928, 60022059, 80067830",12
60020810,Spirit: Stallion Of The Cimarron,Kids,"Family, Children & Family, Drama, Westerns, Social Issue Dramas, US",2002,U/A 7+,"English [Original], Hindi, English - Audio Description","60034386, 80115432, 70267728, 70099116, 81054417, 70021636, 80071348, 80245121, 80095314, 80013941, 81094271, 70075480",12
60021525,Dil Chahta Hai,Drama,"Hindi-Language, Bollywood, Romantic Comedies, Drama, Comedy, Romantic",2001,U/A 13+,Hindi [Original],"80057585, 70181653, 80087743, 80032081, 70202336, 60036735, 70123119, 70109680, 70047320, 70276515, 70019491, 70139071",12
60021758,Asoka,Action,"Hindi-Language, Bollywood, Drama, Romantic, Action & Adventure",2001,U/A 16+,Hindi [Original],"17671454, 60036112, 70057651, 70039405, 70090035, 80104257, 60036752, 70083535, 81227047, 70000196, 70115621, 60036750",12
60022059,National Security,Action,"Crime, Comedy, Action & Adventure, US",2003,U/A 13+,"Hindi, English [Original]","60020801, 60031216, 70127228, 70097577, 80094318, 70118780, 80232655, 70286698, 70059988, 81251628, 70021637, 80067830",12
60022265,Big Fat Liar,Comedy,"Family, Children & Family, Comedy, US",2002,U/A 7+,"English [Original], Hindi, English - Audio Description","81595480, 81305096, 81222715, 1152469, 60033311, 81570889, 81011712, 80031800, 21303955, 80105067, 70033005, 81623335",12
60022266,Crossroads,Comedy,"Romantic Comedies, Comedy, Romantic, Teen, US",2002,A,"English [Original], English - Audio Description","60033290, 21304015, 60020782, 70098895, 80220496, 70093223, 60026122, 70103758, 828487, 70117577, 60001947, 81132038",12
60022700,Panic Room,Thriller,"Crime, Thriller, US",2002,A,"Hindi, English [Original]","81345983, 950149, 80206420, 81488262, 81342505, 81128579, 80223997, 60022967, 81092222, 81449034, 81157374, 81767564",12
60022922,Jerry Maguire,Comedy,"Romantic Comedies, Drama, Comedy, Romantic, Sports, US",1996,U/A 16+,"Hindi, English [Original]","60034545, 21304015, 937499, 70201437, 80047616, 5670418, 70019506, 70093223, 60026122, 828487, 70127226, 70142888",12
60022967,Enough,Thriller,"Drama, Thriller, Social Issue Dramas, US",2002,U/A 16+,"Hindi, English [Original]","80210920, 60010341, 60022700, 70113299, 60000165, 60000880, 797261, 8179348, 81043365, 81127902, 80998968, 81028975",12
60023237,Y Tu Mamá También,Drama,"Mexican, Drama, Independent",2001,A,Spanish Latin America [Original],"81303838, 81779693, 81357618, 81644787, 70298433, 81304948, 70241340, 80240715, 80118002, 81476441, 70059993, 60036227",12
60023642,Spirited Away,Anime,"Family, Japanese, Anime Features",2001,U/A 13+,"Japanese [Original], English, Hindi","80217130, 70106454, 70045021, 70019058, 81565710, 70019062, 60032294, 60027106, 80158156, 70216227, 70028883, 60027393",12
60024179,Mobile Suit Gundam: Char'S Counterattack,Anime,"Sci-Fi & Fantasy Anime, Action Anime, Sci-Fi, Japanese, Action & Adventure, Anime Features",1988,U/A 13+,"English, Japanese [Original]","81217220, 80231373, 60024788, 81033445, 81186862, 80174608, 81439253, 81002003, 81943491, 70014611, 81276500, 81002438",12
60024788,The End Of Evangelion,Anime,"Sci-Fi & Fantasy Anime, Action Anime, Sci-Fi, Japanese, Action & Adventure, Anime Features",1997,A,"English, Japanese [Original]","81736884, 80179831, 80174974, 28630857, 80001305, 81033445, 80174608, 81033473, 81439253, 81054853, 81663325, 80243876",12
60024924,Half Past Dead,Action,"Crime, Action & Adventure, US",2002,U/A 16+,"Hindi, English [Original]","81253859, 60031216, 70101697, 70140907, 81086887, 70023960, 265929, 70062784, 60001867, 70099114, 80200961, 70278930",12
60024979,Punch-Drunk Love,Drama,"Romantic Comedies, Drama, Comedy, Romantic, US",2002,U/A 16+,"Hindi, English [Original]","70117577, 80223779, 70125231, 80063265, 80990663, 80183328, 60023237, 80126569, 60033311, 80174434, 70021637, 70220030",12
60026114,Final Destination 2,Horror,"Horror, US",2003,A,"Hindi, English [Original]","70053460, 81639205, 70291092, 70043240, 81644122, 70206131, 60036256, 70178620, 70113006, 81753224, 81198941, 70042687",12
60026122,How To Lose A Guy In 10 Days,Comedy,"Romantic Comedies, Comedy, Romantic, Based on Books, US",2003,U/A 13+,"English [Original], Hindi, English - Audio Description","60033290, 21304015, 80239019, 81760229, 70044867, 80047616, 70093223, 70103758, 828487, 60036227, 80184100, 60001947",12
60027106,Kiki’S Delivery Service,Kids,"Family, Children & Family, Japanese, Anime based on Books, Based on Books, Anime Features",1989,U/A 7+,"Japanese [Original], English, Hindi","80217130, 70106454, 81316559, 60023642, 70045021, 70019058, 81565710, 70019062, 60032294, 70216227, 70028883, 60027393",12
60027393,Castle In The Sky,Kids,"Family, Children & Family, Japanese, Anime Features",1986,U/A 7+,"English, Japanese [Original]","80217130, 70106454, 60023642, 70045021, 70019058, 81478031, 81565710, 70019062, 60032294, 60027106, 70216227, 70028883",12
60027713,2 Fast 2 Furious,Action,"Crime, Action & Adventure, US",2003,U/A 16+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","70044885, 60020747, 70184054, 81227923, 70103761, 80142090, 70140907, 80124486, 81073022, 81762792, 70059988, 17236928",12
60029176,Lara Croft Tomb Raider: The Cradle Of Life,Action,"Action & Adventure, US",2003,U/A 13+,"Hindi, English [Original], Tamil, Telugu, English - Audio Description","81361105, 81388316, 80084088, 60004467, 60020549, 70307658, 80161352, 81002746, 20559714, 765912, 70127226, 70142888",12
60031216,Welcome To The Jungle,Action,"Comedy, Action & Adventure, US",2003,U/A 16+,"Hindi, Telugu, English [Original], Tamil","70178621, 80027980, 70127228, 70140907, 80233783, 80094318, 80216309, 215309, 81161626, 60022059, 215318, 70097578",12
60031683,Pumping Iron,Documentary,"Documentaries, Based on Books, Sports, US",1977,U/A 16+,English [Original],"81436688, 81048394, 81331076, 80203144, 81312877, 81450717, 70170051, 81317673, 81157840, 81133260, 81231181, 80187722",12
60032294,My Neighbor Totoro,Kids,"Family, Children & Family, Japanese, Anime Features",1988,U,"Japanese [Original], English, Hindi","80217130, 70106454, 60023642, 70045021, 70019058, 70019062, 81451264, 60027106, 80158156, 70216227, 70028883, 60027393",12
60033290,First Daughter,Comedy,"Romantic Comedies, Comedy, Romantic, Teen, US",2004,U/A 13+,English [Original],"80239019, 21304015, 80242926, 60020782, 70098895, 70093223, 60026122, 60022266, 70103758, 828487, 60001947, 81228331",12
60033311,50 First Dates,Comedy,"Romantic Comedies, Comedy, Romantic, US",2004,U/A 16+,"Hindi, English [Original]","80242619, 21304015, 80239019, 70125231, 70267242, 21303955, 60026122, 80183328, 70103758, 60036227, 70021637, 70220030",12
60033326,The Girl Next Door,Comedy,"Romantic Comedies, Comedy, Romantic, Teen, US",2004,A,English [Original],"70301476, 81580024, 70167075, 81388078, 81715819, 81760229, 70227648, 81747490, 60036227, 81508217, 60001947, 80158583",12
60033343,Anchorman: The Legend Of Ron Burgundy,Comedy,"Satires, Comedy, US",2004,U/A 16+,"English [Original], Hindi, English - Audio Description","80244088, 80059064, 70283197, 70127228, 80186979, 80064512, 80243600, 21303955, 215309, 70112729, 81004274, 80037476",12
60033498,La Ley De Herodes,Comedy,"Mexican, Satires, Comedy",1999,A,Spanish Latin America [Original],"81728085, 81449035, 81093934, 81357618, 80200267, 81640439, 80244123, 81552473, 70055221, 80032640, 81497494, 80238434",12
60034386,The Swan Princess,Kids,"Children & Family, Kids Music, Musicals, US",1994,U/A 7+,"Hindi, English [Original]","80217130, 81607651, 60020810, 81316559, 81383247, 70300626, 81136524, 81745658, 80192815, 70216227, 70033005, 70180051",12
60034545,Eternal Sunshine Of The Spotless Mind,Drama,"Sci-Fi, Drama, Independent, Romantic, US",2004,U/A 16+,"English [Original], Hindi, English - Audio Description","81349306, 880640, 80208802, 70305903, 80223779, 5670418, 81140933, 70059993, 786137, 828487, 60036227, 268371",12
60034929,She'S Gotta Have It,Comedy,"Romantic Comedies, Comedy, Independent, Romantic, US",1986,A,English [Original],"80117554, 81354524, 81053303, 80202920, 81567028, 81476441, 81578318, 80991848, 80996324, 80212986, 80095698, 80095699",12
60035870,Hum Aapke Hain Koun,Drama,"Hindi-Language, Bollywood, Drama, Romantic, Based on Books",1994,U/A 13+,Hindi [Original],"60036112, 70057651, 60000722, 70052249, 70090035, 60036735, 80091866, 60036752, 70083535, 70000196, 80074065, 60036750",12
60036112,Chalte Chalte,Romance,"Hindi-Language, Bollywood, Drama, Romantic",2003,U/A 13+,Hindi [Original],"17671454, 70057651, 60000722, 70039405, 80074065, 60036735, 70083535, 60036752, 80156935, 70000196, 70115621, 60036750",12
